díogach,diːɡəx
bleibín,blɛɪbɪn
sainuimhir,saːnʊɪvɪr
comhdheas,kɔvɣæs
dioplómaitic,dɔːplɔmaːtɪk
leasaitheoir,læsaːhɔːɪr
tlás,tlas
coire,kɪːrɛ
plait,plaːt
deilm,dɛɪlm
údarásacht,ʊdarasaxt
gnáthmhuintir,ɡnahvʊɪntɪr
dream,dræm
colfarsach,kɔlfarsax
rosán,rɔsan
baothdhóchas,baɔhɣɔxas
bodairlín,bɔdaːrlɪn
cromadach,krɔmadax
tóirpín,tɔɪrpɪn
trádainm,tradaːnm
liagóir,lɪaɡɔɪr
streabhóg,strævɔɡ
ationóil,atɔːnɔɪl
cuibhiúil,kʊɪvɪʊɪl
scódaí,skɔdaː
gnéasnascadh,ɡnɛasnaskaɣ
urraitheoir,ʊrˠaːhɔːɪr
éadomhaiseach,ɛadɔvaːsæx
heorastaic,hɔːrastaːk
lármheán,larvǽn
crómaitin,krɔmaːtɪn
próitéin,prɔɪtɛɪn
bochar,bɔxar
dianscaoilteoir,dɪanskaɪːltɔːɪr
potbhiathaigh,pɔtvɪahaːɣ
gníomh,ɡnɪɔv
marbhstad,marvstad
dóiteánaí,dɔɪtǽnaː
ré talamh,rɛ talav
taithí,taːhɪ
tuineadóir,tʊɪnædɔɪr
losainn,lɔsaːnˠ
peicteach,pɛɪktæx
sleaic,slæːk
milteog,mɪltɔːɡ
cómhalairt,kɔvalaːrt
sciathánach,skɪahanax
foghraí,fɔɣraː
úráiniam,ʊraɪnɪam
boigéis,bɪːɡɛɪs
dearglaoch,dærɡlaɔx
eispéireasaí,ɛɪspɛɪræsaː
athóige,ahɔɪɡɛ
easaontas,æsaɔntas
béad,bɛad
síleálach,sɪlǽlax
imchuach,ɪmxʊəx
bórás,bɔras
réiltíneach,rɛɪltɪnæx
meathghlór,mæhɣlɔr
gáirsiúlacht,ɡaɪrsɪʊlaxt
neamhghlórmhar,nævɣlɔrvar
donndearg,dɔnˠdærɡ
scaipeach,skaːpæx
clogchuar,klɔɡxʊər
roicéad,rɪːkɛad
grugach,ɡrʊɡax
fóilió,fɔɪlɔː
asarlaíocht,asarlaːɔxt
sceidhreog,skɛɪɣrɔːɡ
púcúil,pʊkʊɪl
aicearracht,aːkærˠaxt
botaí,bɔtaː
pocaide,pɔkaːdɛ
piocadh,pɔːkaɣ
srannach,sranˠax
claonmhéadar,klaɔnvɛadar
adhaltranas,aɣaltranas
biorshrónach,bɔːrhrɔnax
séinne,sɛɪnˠɛ
athlamh,ahlav
meabhal,mæval
neamhiarmhairt,nævɪarvaːrt
góchruth,ɡɔxrʊh
giarbhosca,ɡɪarvɔska
molaibdéineam,mɔlaːbdɛɪnæm
geatóir,ɡætɔɪr
faonlag,faɔnlaɡ
broic,brɪːk
seanscéalaí,sænskɛalaː
toghchánaíocht,tɔɣxanaːɔxt
cailleachas,kaːlˠæxas
sceideal,skɛɪdæl
fudairnéis,fʊdaːrnɛɪs
síománaíocht,sɪɔmanaːɔxt
fód,fɔd
gliogairnéiseach,ɡlɔːɡaːrnɛɪsæx
folaigh,fɔlaːɣ
cnaíteach,knaːtæx
tuathalacht,tʊəhalaxt
spíonach,spɪɔnax
scuitseálaí,skʊɪtsǽlaː
scabhaitéir,skavaːtɛɪr
útamálaí,ʊtamalaː
dúrabhán,dʊravan
pianó,pɪanɔ
sacraimintiúil,sakraːmɪntɪʊɪl
daíocht,daːɔxt
forsheomra,fɔrhɔːmra
fústar,fʊstar
géirín,ɡɛɪrɪn
scriotharnach,skrɔːharnax
ceáfar,kǽfar
peil,pɛɪl
muiroighear,mʊɪrɪːɣær
lándícheall,landɪxælˠ
neamhthaibhseach,nævhaːvsæx
plabaireacht,plabaːræxt
saincheadúnaigh,saːnxædʊnaːɣ
spiagaí,spɪaɡaː
mí-úsáid,mɪ-ʊsaɪd
fileata,fɪlæta
cróilí,krɔɪlɪ
aerbhonn,aɛrvɔnˠ
preabánach,præbanax
múiscealach,mʊɪskælax
únfairteach,ʊnfaːrtæx
brúiteoir,brʊɪtɔːɪr
déadeagar,dɛadæɡar
cruinn,krʊɪnˠ
póirín,pɔɪrɪn
fíochta,fɪɔxta
burlaire,bʊrlaːrɛ
fíréanta,fɪrɛanta
hidridinimic,hɪdrɪdɪnɪmɪk
inphléascadh,ɪnflɛaskaɣ
seoimrín,sɔːɪmrɪn
crúbadach,krʊbadax
craobhach,kraɔvax
síprisín,sɪprɪsɪn
éiceolaíoch,ɛɪkɔːlaːɔx
baothracht,baɔhraxt
eagraíocht,æɡraːɔxt
gairgín,ɡaːrɡɪn
foscúlacht,fɔskʊlaxt
caochóg,kaɔxɔɡ
míchuma,mɪxʊma
rachlas,raxlas
criogar,krɔːɡar
frithdhílsí,frɪhɣɪlsɪ
ateacht,atæxt
aspach,aspax
spiriméadar,spɪrɪmɛadar
smóladán,smɔladan
Cuáit,cʊə́ɪt
graifne,ɡraːfnɛ
Cairibeach,caːrɪbæx
danaideach,danaːdæx
saorchlann,saɔrxlanˠ
tromghiallach,trɔmɣɪalˠax
mantachán,mantaxan
mí-áisiúil,mɪ-aɪsɪʊɪl
daibhir,daːvɪr
neamhthorthúil,nævhɔrhʊɪl
crandacht,krandaxt
ursain,ʊrsaːn
cnaíteachán,knaːtæxan
marú,marʊ
ciallaigh,kɪalˠaːɣ
strainc,straːnk
trumpadóireacht,trʊmpadɔɪræxt
núiclíneach,nʊɪklɪnæx
críonóideach,krɪɔnɔɪdæx
bindealán,bɪndælan
heaptán,hæptan
beoir,bɔːɪr
sireacó,sɪrækɔ
caiticeasmach,kaːtɪkæsmax
treantán,træntan
fliuchán,flɪʊxan
sámhadh,savaɣ
Panama,panama
mantú,mantʊ
ainfhírinne,aːnɪrɪnˠɛ
Saíceachas,saːkæxas
scan,skan
lámhchrannán,lavxranˠan
corrán,kɔrˠan
damhsóir,davsɔɪr
tabhall,tavalˠ
fuaimlorg,fʊəːmlɔrɡ
míoleolaí,mɪɔlɔːlaː
fadhbh,faɣv
cistiúchán,kɪstɪʊxan
cripteagram,krɪptæɡram
lachtós,laxtɔs
scioteireaball,skɔːtɛɪræbalˠ
slinnteog,slɪnˠtɔːɡ
bainteoir,baːntɔːɪr
amfaibiach,amfaːbɪax
comhthreomharóid,kɔvhrɔːvarɔɪd
caisleánach,kaːslǽnax
